pkd_code,opis,szczegoly
01.11.Z,"Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu","Obejmuje uprawę zbóż takich jak pszenica, żyto, jęczmień, owies, kukurydza, ryż. Uprawa roślin strączkowych jak groch, fasola, soczewica, bób. Uprawa roślin oleistych na nasiona jak rzepak, słonecznik, soja, len oleisty, gorczyca."
01.12.Z,"Uprawa ryżu","Obejmuje uprawę ryżu na polach nawadnianych i nienawadnianych."
01.13.Z,"Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych","Obejmuje uprawę warzyw liściowych jak sałata, szpinak, kapusta. Uprawę warzyw owocowych jak pomidory, ogórki, papryka, cukinia, bakłażan. Uprawę roślin korzeniowych jak marchew, burak, pietruszka, seler, rzodkiewka. Uprawę roślin bulwiastych jak ziemniak, batat. Uprawę melonów, arbuzów, dyni."
01.14.Z,"Uprawa trzciny cukrowej","Obejmuje uprawę trzciny cukrowej na plantacjach."
01.15.Z,"Uprawa tytoniu","Obejmuje uprawę tytoniu wszystkich odmian, suszenie i wstępną obróbkę liści tytoniowych w gospodarstwie."
01.16.Z,"Uprawa roślin włóknistych","Obejmuje uprawę bawełny, lnu, konopi, juty, sizalu i innych roślin włóknistych."
01.19.Z,"Pozostałe uprawy rolne inne niż wieloletnie","Obejmuje uprawę roślin przyprawowych, aromatycznych, leczniczych. Uprawę kwiatów ciętych i doniczkowych. Uprawę nasion roślin, buraków cukrowych, traw pastewnych. Uprawę pozostałych roślin jednorocznych i dwuletnich."
01.21.Z,"Uprawa winogron","Obejmuje uprawę winogron do produkcji wina, na stół, na rodzynki. Prowadzenie winnic i sadów winogronowych."
01.22.Z,"Uprawa owoców tropikalnych i podzwrotnikowych","Obejmuje uprawę bananów, mango, ananasów, papai, awokado, fig, daktyli, owoców cytrusowych jak pomarańcze, cytryny, grejpfruty, mandarynki, limonki."
01.24.Z,"Uprawa owoców ziarnkowych i pestkowych","Obejmuje uprawę jabłek, gruszek, śliwek, czereśni, wiśni, brzoskwiń, moreli, nektaryn i innych owoców ziarnkowych i pestkowych. Prowadzenie sadów."
01.25.Z,"Uprawa pozostałych drzew i krzewów owocowych oraz orzechów","Obejmuje uprawę jagód, truskawek, malin, porzeczek, agrestu, borówek, jeżyn, żurawiny. Uprawę orzechów włoskich, laskowych, migdałów, kasztanów jadalnych."
01.41.Z,"Chów i hodowla bydła mlecznego","Obejmuje chów i hodowlę bydła mlecznego, produkcję mleka krowiego, utrzymanie krów dojnych, inseminację bydła."
01.42.Z,"Chów i hodowla pozostałego bydła i bawołów","Obejmuje chów i hodowlę bydła mięsnego, opasowego. Hodowlę bydła zarodowego. Produkcję nasienia bydlęcego."
01.46.Z,"Chów i hodowla świń","Obejmuje chów i hodowlę świń, produkcję prosiąt, tuczników, loch, knurów zarodowych. Tucz trzody chlewnej, fermy świń."
01.47.Z,"Chów i hodowla drobiu","Obejmuje chów i hodowlę kur, gęsi, kaczek, indyków, przepiórek, strusi. Produkcję jaj, mięsa drobiowego. Prowadzenie ferm drobiu, wylęgarni, kurników."
01.50.Z,"Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)","Obejmuje gospodarstwa rolne prowadzące zarówno uprawę roślin jak i hodowlę zwierząt, gdzie żadna z tych działalności nie dominuje. Gospodarstwa mieszane, rolnictwo wielokierunkowe."
02.10.Z,"Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych","Obejmuje zagospodarowanie lasu, zalesianie, odnawianie drzewostanów, pielęgnację lasu, ochronę przeciwpożarową lasu, urządzanie lasu, inwentaryzację leśną, szkółkarstwo leśne, produkcję sadzonek drzew leśnych."
02.20.Z,"Pozyskiwanie drewna","Obejmuje pozyskiwanie drewna okrągłego, tartacznego, papierówki, drewna opałowego. Ścinanie drzew, zrywkę, wywóz drewna. Produkcję drewna w stanie surowym, kłód, pali, kołków."
02.30.Z,"Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna","Obejmuje zbieranie grzybów, jagód, żurawiny, borówek, jeżyn, owoców leśnych. Zbieranie orzechów, żywicy, korka, kory, mchów, porostów, szyszek. Pozyskiwanie soków drzew, miodu leśnego."
03.11.Z,"Rybołówstwo w wodach morskich","Obejmuje połowy ryb morskich, skorupiaków, mięczaków, krabów, homarów, langust, krewetek. Połowy wielorybów, fok. Pozyskiwanie organizmów morskich jak wodorosty, perły, gąbki naturalne."
03.12.Z,"Rybołówstwo w wodach śródlądowych","Obejmuje połowy ryb słodkowodnych w rzekach, jeziorach, stawach, zbiornikach retencyjnych. Połowy raków, żab. Wędkarstwo komercyjne."
03.21.Z,"Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach morskich","Obejmuje hodowlę ryb morskich, małży, ostryg, skorupiaków, homarów, krewetek w wodach morskich. Marikulturę, akwakulturę morską. Hodowlę wodorostów morskich."
03.22.Z,"Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych","Obejmuje hodowlę ryb słodkowodnych jak karp, pstrąg, sum, szczupak, okoń, sandacz, jesiotr. Hodowlę raków, żab. Prowadzenie stawów rybnych, akwakultury słodkowodnej."
10.11.Z,"Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu","Obejmuje ubój zwierząt rzeźnych: bydła, świń, owiec, kóz, koni. Produkcję mięsa świeżego, chłodzonego, mrożonego. Produkcję skór surowych ze zwierząt rzeźnych. Wytapianie i rafinację tłuszczów zwierzęcych jadalnych. Produkcję mączki mięsnej."
10.12.Z,"Przetwarzanie i konserwowanie mięsa z drobiu","Obejmuje ubój drobiu: kur, gęsi, kaczek, indyków. Produkcję mięsa drobiowego świeżego, chłodzonego, mrożonego. Produkcję pierza i puchu."
10.13.Z,"Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego","Obejmuje produkcję wędlin, kiełbas, salami, boczku, szynki, pasztetów, konserw mięsnych, wyrobów garmażeryjnych z mięsa. Wędzenie mięsa, solenie, suszenie."
10.20.Z,"Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków","Obejmuje przetwarzanie ryb, skorupiaków i mięczaków: mrożenie, wędzenie, solenie, marynowanie, suszenie. Produkcję filetów rybnych, konserw rybnych, kawioru. Produkcję mączki rybnej."
10.31.Z,"Przetwarzanie i konserwowanie ziemniaków","Obejmuje produkcję mrożonych ziemniaków, frytek, chipsów, mąki ziemniaczanej, skrobi ziemniaczanej, płatków ziemniaczanych, krokietów, purée ziemniaczanego."
10.39.Z,"Pozostałe przetwarzanie i konserwowanie owoców i warzyw","Obejmuje produkcję soków owocowych i warzywnych, dżemów, marmolad, powideł, kompotów, mrożonek owocowych i warzywnych, suszonych owoców i warzyw, kiszonek, marynat, koncentratów pomidorowych."
10.41.Z,"Produkcja olejów i pozostałych tłuszczów płynnych","Obejmuje produkcję olejów roślinnych: rzepakowego, słonecznikowego, sojowego, oliwy z oliwek, oleju lnianego, kokosowego. Produkcję margaryny, tłuszczów roślinnych."
10.51.Z,"Przetwórstwo mleka i wyrób serów","Obejmuje produkcję mleka pasteryzowanego, sterylizowanego, homogenizowanego. Produkcję śmietany, jogurtów, kefirów, maślanki. Produkcję masła, serów twarogowych, dojrzewających, topionych. Produkcję lodów mlecznych, kazeiny, laktozy."
10.61.Z,"Wytwarzanie produktów przemiału zbóż","Obejmuje mielenie zbóż: produkcję mąki pszennej, żytniej, kukurydzianej. Produkcję kasz, płatków zbożowych, grysiku, mąki ryżowej. Obłuskiwanie ryżu. Przemiał zbóż na paszę."
10.71.Z,"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek","Obejmuje produkcję chleba, bułek, bagietek, rogalików, drożdżówek. Produkcję ciast, tortów, ciastek, pączków, pierogów, pizzy. Piekarnie rzemieślnicze i przemysłowe."
10.72.Z,"Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek","Obejmuje produkcję sucharów, herbatników, krakersów, wafli, pierników, ciastek o przedłużonej trwałości. Produkcję słodkich i słonych wyrobów przekąskowych."
10.82.Z,"Produkcja kakao, czekolady i wyrobów cukierniczych","Obejmuje produkcję czekolady, czekoladek, pralin, tabliczek czekoladowych. Produkcję kakao w proszku, masła kakaowego. Produkcję cukierków, karmelków, pomadek, draży, gumy do żucia, żelków."
10.83.Z,"Przetwórstwo herbaty i kawy","Obejmuje palenie i mielenie kawy, produkcję kawy rozpuszczalnej, bezkofeinowej, ekstraktów kawowych. Produkcję herbaty pakowanej, herbaty rozpuszczalnej, mieszanek herbat, herbat aromatyzowanych. Produkcję yerba mate."
10.85.Z,"Wytwarzanie gotowych posiłków i dań","Obejmuje produkcję gotowych dań mrożonych, chłodzonych, w puszkach, próżniowo pakowanych. Produkcję posiłków dietetycznych, obiadów gotowych do spożycia, zestawów obiadowych. Catering przemysłowy, żywienie zbiorowe."
10.86.Z,"Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej","Obejmuje produkcję żywności dla niemowląt i małych dzieci, odżywek, preparatów mlekozastępczych, kaszek. Produkcję żywności dietetycznej, niskobiałkowej, bezglutenowej, dla diabetyków, sportowców."
10.89.Z,"Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana","Obejmuje produkcję zup i bulionów, drożdży, sosów, przypraw, musztardy, octu, majonezu, keczupu. Produkcję makaronu, klusek, pierogów. Produkcję suplementów diety, odżywek białkowych."
11.01.Z,"Destylowanie, rektyfikowanie i mieszanie alkoholi","Obejmuje produkcję wódki, whisky, brandy, ginu, likierów, nalewek, spirytusu. Destylację alkoholi, produkcję napojów spirytusowych, mieszanie alkoholi, rozlewanie."
11.05.Z,"Produkcja piwa","Obejmuje produkcję piwa jasnego, ciemnego, pszenicznego, porter, lager, ale, IPA. Warzenie piwa w browarach przemysłowych i rzemieślniczych, minibrowarach."
11.07.Z,"Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych","Obejmuje produkcję wód mineralnych, wód źródlanych, wody gazowanej. Produkcję napojów orzeźwiających, lemoniad, soków, nektarów, napojów energetycznych, izotonicznych, mrożonej herbaty, napojów gazowanych."
13.10.Z,"Przygotowanie i przędzenie włókien tekstylnych","Obejmuje zgrzeblenie, czesanie, przędzenie włókien bawełnianych, wełnianych, lnianych, jedwabnych, syntetycznych. Produkcję przędzy, nici, sznurków. Przygotowywanie włókien tekstylnych."
13.20.Z,"Produkcja tkanin","Obejmuje tkanie tkanin bawełnianych, wełnianych, lnianych, jedwabnych, syntetycznych na krosnach tkackich. Produkcję tkanin technicznych, dekoracyjnych, obiciowych, namiotowych."
13.92.Z,"Produkcja gotowych wyrobów tekstylnych, z wyłączeniem odzieży","Obejmuje produkcję koców, pledów, narzut, pościeli, poszewek, obrusów, serwet, ścierek, ręczników, zasłon, firan, rolet tekstylnych, flag, proporczyków, namiotów, żagli, spadochronów, worków."
14.11.Z,"Produkcja odzieży skórzanej","Obejmuje produkcję odzieży ze skóry naturalnej: kurtek, płaszczy, spodni, spódnic skórzanych. Produkcję odzieży ze skóry zamszowej."
14.12.Z,"Produkcja odzieży roboczej","Obejmuje produkcję odzieży ochronnej, roboczej, BHP. Produkcję kombinezonów, fartuchów, kamizelek odblaskowych, mundurów, uniformów, odzieży dla służb."
14.13.Z,"Produkcja pozostałej odzieży wierzchniej","Obejmuje produkcję płaszczy, kurtek, marynarek, garniturów, kostiumów, spodni, spódnic, sukienek, bluzek. Produkcję odzieży damskiej, męskiej, dziecięcej."
14.14.Z,"Produkcja bielizny","Obejmuje produkcję bielizny osobistej: koszul, podkoszulków, majtek, bokserek, biustonoszy, gorsetów, koszul nocnych, piżam. Produkcję bielizny męskiej, damskiej, dziecięcej."
14.19.Z,"Produkcja pozostałej odzieży i dodatków do odzieży","Obejmuje produkcję czapek, kapeluszy, szalików, rękawiczek, krawatów, pasków, szelek, parasoli, chust. Produkcję odzieży sportowej, kąpielowej, narciarskiej."
15.11.Z,"Wyprawa skór, garbowanie; wyprawa i barwienie skór futerkowych","Obejmuje garbowanie, wyprawianie skór bydlęcych, świńskich, owczych, kozich. Barwienie skór. Produkcję skór lakierowanych, zamszowych, nubukowych. Wyprawianie futer."
15.12.Z,"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów ze skóry","Obejmuje produkcję torebek damskich, portfeli, portmonetek, walizek, kufrów, plecaków, teczek, aktówek, pasków, etui ze skóry naturalnej i sztucznej."
15.20.Z,"Produkcja obuwia","Obejmuje produkcję butów, trzewików, kozaków, sandałów, klapek, pantofli, tenisówek, obuwia sportowego, roboczego, ortopedycznego. Produkcję obuwia ze skóry, gumy, tworzyw sztucznych, tekstyliów."
16.10.Z,"Produkcja wyrobów tartacznych","Obejmuje piłowanie, struganie, impregnowanie drewna. Produkcję desek, bali, belek, krawędziaków, łat, listew, tarcicy. Produkcję podkładów kolejowych, palet drewnianych, opakowań drewnianych."
16.21.Z,"Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna","Obejmuje produkcję sklejki, płyt wiórowych, pilśniowych, MDF, HDF, OSB, płyt fornirowanych. Produkcję fornirów, oklein drewnianych."
16.23.Z,"Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa","Obejmuje produkcję okien, drzwi, podłóg, parkietów drewnianych, schodów, balustrad, belek dachowych, więźb dachowych, domów drewnianych prefabrykowanych, drewnianej stolarki budowlanej."
16.29.Z,"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania","Obejmuje produkcję przedmiotów z drewna: ramek, szpulek, wieszaków, narzędzi drewnianych, zabawek drewnianych. Produkcję wyrobów z korka: zatyczek, podkładek. Produkcję wyrobów ze słomy, wikliny: koszy, mat."
17.11.Z,"Produkcja masy włóknistej","Obejmuje produkcję masy celulozowej, ścieru drzewnego, masy włóknistej z odzysku (makulatury). Produkcję celulozy siarczanowej, siarczynowej."
17.12.Z,"Produkcja papieru i tektury","Obejmuje produkcję papieru gazetowego, drukarskiego, pisarskiego, pakunkowego, higienicznego, filtracyjnego, bibułki. Produkcję tektury litej, falistej, pudełkowej."
17.21.Z,"Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury","Obejmuje produkcję pudełek kartonowych, opakowań z tektury falistej, pudeł, kartonów, kopert, toreb papierowych, worków papierowych. Produkcję opakowań transportowych i spożywczych."
18.11.Z,"Drukowanie gazet","Obejmuje drukowanie gazet codziennych, tygodników, dzienników na papierze gazetowym. Druk offsetowy gazet."
18.12.Z,"Pozostałe drukowanie","Obejmuje drukowanie książek, broszur, plakatów, ulotek, katalogów, kalendarzy, formularzy, etykiet, wizytówek. Druk offsetowy, cyfrowy, sitodruk, fleksografia. Usługi drukarskie."
18.13.Z,"Działalność usługowa związana z przygotowywaniem do druku","Obejmuje skład tekstu, fotoskład, naświetlanie płyt drukarskich, przygotowanie plików do druku, retusz, korektę, montaż, impozycję. Działalność prepress, DTP."
20.11.Z,"Produkcja gazów technicznych","Obejmuje produkcję tlenu, azotu, argonu, wodoru, helu, dwutlenku węgla, acetylenu, gazów szlachetnych. Produkcję suchego lodu, skroplonych gazów."
20.12.Z,"Produkcja barwników i pigmentów","Obejmuje produkcję barwników syntetycznych, pigmentów, farb drukarskich, tonerów, atramentów. Produkcję bieli tytanowej, pigmentów organicznych i nieorganicznych."
20.13.Z,"Produkcja pozostałych podstawowych chemikaliów nieorganicznych","Obejmuje produkcję kwasów: solnego, siarkowego, azotowego. Produkcję zasad: sody kaustycznej. Produkcję soli chemicznych, chloru, wodorotlenków, tlenków metali."
20.14.Z,"Produkcja pozostałych podstawowych chemikaliów organicznych","Obejmuje produkcję alkoholi, rozpuszczalników organicznych, kwasów organicznych. Produkcję etylenu, propylenu, butadienu, benzenu, toluenu, styrenu. Produkcję estrów, eterów, aldehydów."
20.30.Z,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających","Obejmuje produkcję farb emulsyjnych, olejnych, akrylowych, lakierów, emalii, bejc, impregnatów. Produkcję farb proszkowych, antykorozyjnych, podkładowych. Produkcję kitów, szpachli, mas uszczelniających, silikonów."
20.41.Z,"Produkcja mydła i detergentów, środków myjących i czyszczących","Obejmuje produkcję mydeł, płynów do mycia naczyń, proszków do prania, płynów do prania, płukania, zmiękczania. Produkcję środków czyszczących, odplamiających, wybielających, dezynfekujących."
20.42.Z,"Produkcja wyrobów kosmetycznych i toaletowych","Obejmuje produkcję kremów, balsamów, toników, szamponów, odżywek, żeli pod prysznic. Produkcję perfum, wód toaletowych, dezodorantów, past do zębów. Produkcję makijażu: szminek, cieni, tuszy, lakierów do paznokci."
20.51.Z,"Produkcja materiałów wybuchowych","Obejmuje produkcję materiałów wybuchowych, prochów strzelniczych, detonatorów, zapalników, lontu. Produkcję fajerwerków, petard, ogni sztucznych, rac, materiałów pirotechnicznych."
20.59.Z,"Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana","Obejmuje produkcję klejów, żelatyny, olejków eterycznych, preparatów fotograficznych, nośników zapisu, peptonu. Produkcję odczynników chemicznych, chemii laboratoryjnej, atramentów."
21.10.Z,"Produkcja podstawowych substancji farmaceutycznych","Obejmuje produkcję substancji czynnych farmaceutycznie, antybiotyków, witamin, hormonów, salicylanów. Przetwarzanie krwi."
21.20.Z,"Produkcja leków i pozostałych wyrobów farmaceutycznych","Obejmuje produkcję leków: tabletek, kapsułek, syropów, maści, zastrzyków, szczepionek, surowic. Produkcję plastrów medycznych, waty, bandaży, opatrunków. Produkcję preparatów weterynaryjnych."
22.11.Z,"Produkcja opon i dętek z gumy; bieżnikowanie i regenerowanie opon z gumy","Obejmuje produkcję opon samochodowych, motocyklowych, rowerowych, rolniczych, przemysłowych. Produkcję dętek, osłon ochronnych. Bieżnikowanie opon używanych."
22.19.Z,"Produkcja pozostałych wyrobów z gumy","Obejmuje produkcję płyt, arkuszy, pasów, węży, rur z gumy. Produkcję uszczelek, pasków klinowych, taśm transporterowych, wyrobów higienicznych z gumy, rękawic gumowych, podeszew, obcasów gumowych."
22.21.Z,"Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych","Obejmuje produkcję płyt, folii, rur, profili, prętów z PVC, PE, PP, poliwęglanu, akrylu. Wytłaczanie, formowanie tworzyw sztucznych."
22.22.Z,"Produkcja opakowań z tworzyw sztucznych","Obejmuje produkcję toreb, worków, butelek, pojemników, skrzynek, palet z tworzyw sztucznych. Produkcję folii opakowaniowej, opakowań blistrowych, tacek styropianowych."
22.23.Z,"Produkcja wyrobów dla budownictwa z tworzyw sztucznych","Obejmuje produkcję okien, drzwi, ram z PVC, paneli ściennych, wykładzin podłogowych, rynien, rur kanalizacyjnych z tworzyw sztucznych. Produkcję izolacji, membran budowlanych."
22.29.Z,"Produkcja pozostałych wyrobów z tworzyw sztucznych","Obejmuje produkcję artykułów gospodarstwa domowego z plastiku, zabawek plastikowych, elementów odzieży z plastiku. Produkcję wyrobów technicznych, części maszyn z tworzyw sztucznych, wtryskiwanie tworzyw sztucznych."
23.11.Z,"Produkcja szkła płaskiego","Obejmuje produkcję szkła float, ciągnionego, walcowanego, płaskiego. Produkcję szkła hartowanego, laminowanego, lustrzanego, ornamentowego."
23.12.Z,"Kształtowanie i obróbka szkła płaskiego","Obejmuje cięcie, szlifowanie, polerowanie, hartowanie, laminowanie, powlekanie szkła. Produkcję szyb zespolonych, luster, szkła bezpiecznego."
23.13.Z,"Produkcja szkła gospodarczego","Obejmuje produkcję szklanek, kieliszków, butelek, słoików, wazonów, talerzy szklanych. Produkcję szkła kryształowego, żaroodpornego, borokrzemianowego."
23.19.Z,"Produkcja i obróbka pozostałego szkła, włączając szkło techniczne","Obejmuje produkcję włókna szklanego, izolacji ze szkła, szkła laboratoryjnego, szkła optycznego, rur szklanych, ampułek, bloków szklanych, szkła technicznego."
23.31.Z,"Produkcja ceramicznych kafli i płytek","Obejmuje produkcję płytek ceramicznych ściennych, podłogowych, mozaiki ceramicznej, glazury, terakoty, gresu. Produkcję kafli piecowych."
23.32.Z,"Produkcja cegieł, dachówek i materiałów budowlanych z wypalanej gliny","Obejmuje produkcję cegieł, dachówek, pustaków ceramicznych, bloczków, kominów ceramicznych, elementów ceramicznych dla budownictwa."
23.51.Z,"Produkcja cementu","Obejmuje produkcję cementu portlandzkiego, glinowego, hutniczego, pucolanowego. Produkcję klinkieru cementowego."
23.52.Z,"Produkcja wapna i gipsu","Obejmuje produkcję wapna palonego, gaszonego, hydraulicznego. Produkcję gipsu, tynków gipsowych, płyt gipsowo-kartonowych, gipsu budowlanego, medycznego."
23.61.Z,"Produkcja wyrobów budowlanych z betonu","Obejmuje produkcję bloczków betonowych, pustaków, krawężników, płyt chodnikowych, elementów prefabrykowanych z betonu, słupów, belek, nadproży. Produkcję rur betonowych, studzienek kanalizacyjnych, ogrodzeń betonowych."
23.63.Z,"Produkcja masy betonowej prefabrykowanej","Obejmuje produkcję betonu towarowego, masy betonowej, zaprawy murarskiej, tynkarskiej. Wytwórnie betonu, betoniarnie."
23.69.Z,"Produkcja pozostałych wyrobów z betonu, gipsu i cementu","Obejmuje produkcję figur gipsowych, ornamentów, rzeźb z betonu i gipsu. Produkcję sztucznego kamienia, wyrobów z włóknocementu."
24.10.Z,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych","Obejmuje produkcję surówki żelaza, stali w hutach, żelazostopów. Produkcję wyrobów walcowanych: blach, taśm, prętów, kątowników, szyn. Odlewanie stali, żeliwa."
24.20.Z,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników ze stali","Obejmuje produkcję rur stalowych spawanych i bez szwu, kształtowników zamkniętych, łączników rurowych, kołnierzy, złączek stalowych."
24.42.Z,"Produkcja aluminium","Obejmuje produkcję aluminium, tlenku aluminium (aluminy), folii aluminiowej, proszku aluminiowego. Wytapianie, rafinowanie, walcowanie, wyciskanie aluminium."
25.11.Z,"Produkcja konstrukcji metalowych i ich części","Obejmuje produkcję hal stalowych, wiat, hangarów, konstrukcji mostowych, słupów, masztów, wież. Produkcję schodów stalowych, balustrad, bramek, ogrodzeń metalowych, kontenerów."
25.12.Z,"Produkcja metalowych elementów stolarki budowlanej","Obejmuje produkcję drzwi, bram, okien, ram metalowych. Produkcję żaluzji, rolet metalowych, ościeżnic, progów, parapetów metalowych."
