pkd_code,opis,szczegoly
25.21.Z,"Produkcja grzejników i kotłów centralnego ogrzewania","Obejmuje produkcję grzejników żeliwnych, stalowych, aluminiowych. Produkcję kotłów grzewczych, wymienników ciepła, instalacji centralnego ogrzewania."
25.29.Z,"Produkcja pozostałych zbiorników, cystern i pojemników metalowych","Obejmuje produkcję zbiorników, silosów, cystern, beczek, pojemników metalowych, kontenerów na odpady, koszy, kubłów metalowych."
25.50.Z,"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków","Obejmuje kuźnictwo swobodne i matrycowe, tłoczenie, prasowanie, walcowanie metali. Metalurgię proszków, spiekanie metali."
25.61.Z,"Obróbka metali i nakładanie powłok na metale","Obejmuje cynkowanie, chromowanie, niklowanie, galwanizowanie, anodowanie, malowanie proszkowe, lakierowanie metali. Obróbka cieplna, hartowanie, nawęglanie."
25.62.Z,"Obróbka mechaniczna elementów metalowych","Obejmuje toczenie, frezowanie, wiercenie, szlifowanie, polerowanie, cięcie laserowe, cięcie plazmowe, gięcie, spawanie elementów metalowych. Obróbka CNC."
25.71.Z,"Produkcja wyrobów nożowniczych","Obejmuje produkcję noży, scyzoryków, żyletek, brzytew, nożyczek, sekatorów, maczet. Produkcję sztućców: łyżek, widelców, łyżeczek."
25.72.Z,"Produkcja zamków i zawiasów","Obejmuje produkcję zamków, kłódek, zawiasów, zasuw, rygli, wkładek zamkowych, zamknięć, okuć meblowych, budowlanych."
25.73.Z,"Produkcja narzędzi","Obejmuje produkcję narzędzi ręcznych: młotków, śrubokrętów, kluczy, kombinerek, pił, dłut, pilników. Produkcję narzędzi ogrodniczych: łopat, grabi, siekier, sekatorów."
25.91.Z,"Produkcja pojemników metalowych","Obejmuje produkcję puszek, konserw metalowych, skrzynek, pudełek, tac, zasobników metalowych. Produkcję opakowań metalowych na żywność i napoje."
25.93.Z,"Produkcja wyrobów z drutu, łańcuchów i sprężyn","Obejmuje produkcję drutu stalowego, miedziowego, aluminiowego, siatki ogrodzeniowej, plecionej. Produkcję łańcuchów, sprężyn, haczyków, klamer, spinaczy, gwoździ, śrub, nitów."
25.99.Z,"Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana","Obejmuje produkcję kotew, sworzni, pierścieni, uszczelek metalowych. Produkcję wyrobów metalowych dla gospodarstwa domowego: wiader, konewek, misek. Produkcję tablic metalowych, znaków, liter."
26.11.Z,"Produkcja elementów elektronicznych","Obejmuje produkcję tranzystorów, diod, tyrystorów, rezystorów, kondensatorów, układów scalonych, mikroprocesorów, pamięci elektronicznych, czujników, sensorów, modułów elektronicznych."
26.12.Z,"Produkcja elektronicznych obwodów drukowanych","Obejmuje produkcję płytek drukowanych PCB, obwodów drukowanych jedno i wielowarstwowych. Montaż elementów na płytkach drukowanych SMD, THT."
26.20.Z,"Produkcja komputerów i urządzeń peryferyjnych","Obejmuje produkcję komputerów stacjonarnych, laptopów, notebooków, tabletów, serwerów, terminali. Produkcję drukarek, skanerów, monitorów, klawiatur, myszy, dysków twardych, pamięci USB."
26.30.Z,"Produkcja sprzętu telekomunikacyjnego","Obejmuje produkcję telefonów, smartfonów, central telefonicznych, routerów, modemów, switchów, stacji bazowych, nadajników, odbiorników radiowych, anten telekomunikacyjnych."
26.40.Z,"Produkcja elektronicznego sprzętu powszechnego użytku","Obejmuje produkcję telewizorów, odbiorników radiowych, głośników, wzmacniaczy, odtwarzaczy DVD, Blu-ray, tunerów, dekoderów, zestawów kina domowego, słuchawek."
26.51.Z,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych","Obejmuje produkcję termometrów, barometrów, manometrów, wag elektronicznych, liczników, mierników, oscyloskopów, detektorów. Produkcję GPS, kompasów, radaru, sonaru."
26.52.Z,"Produkcja zegarków i zegarów","Obejmuje produkcję zegarków na rękę, zegarów ściennych, stołowych, budzików, stoperów, zegarów wieżowych. Produkcję mechanizmów zegarowych, bransolet do zegarków."
26.60.Z,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego","Obejmuje produkcję aparatów rentgenowskich, tomografów, rezonansu magnetycznego, aparatów USG, EKG, EEG. Produkcję urządzeń do radioterapii, laserów medycznych, defibrylatorów, stymulatorów."
26.70.Z,"Produkcja instrumentów optycznych i sprzętu fotograficznego","Obejmuje produkcję lornetek, teleskopów, mikroskopów, lup, soczewek, pryzmatów. Produkcję aparatów fotograficznych, kamer filmowych, projektorów, obiektywów."
27.11.Z,"Produkcja elektrycznych silników, prądnic, transformatorów","Obejmuje produkcję silników elektrycznych, prądnic, generatorów, transformatorów, prostowników, zasilaczy, przetwornic, stabilizatorów napięcia."
27.12.Z,"Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej","Obejmuje produkcję rozdzielnic, tablic rozdzielczych, wyłączników, przełączników, bezpieczników, gniazd, wtyczek, złączy elektrycznych, szaf sterowniczych."
27.20.Z,"Produkcja baterii i akumulatorów","Obejmuje produkcję baterii alkalicznych, litowych, cynkowych, guzikowych. Produkcję akumulatorów kwasowo-ołowiowych, litowo-jonowych, niklowo-kadmowych, ogniw paliwowych."
27.31.Z,"Produkcja kabli światłowodowych","Obejmuje produkcję kabli światłowodowych, włókien optycznych, przewodów światłowodowych do telekomunikacji i transmisji danych."
27.32.Z,"Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli","Obejmuje produkcję kabli elektrycznych, przewodów miedzianych, aluminiowych, izolowanych. Produkcję kabli zasilających, sterowniczych, sygnałowych, instalacyjnych, wiązek kablowych."
27.40.Z,"Produkcja elektrycznego sprzętu oświetleniowego","Obejmuje produkcję lamp, żarówek, świetlówek, lamp LED, opraw oświetleniowych, kinkietów, żyrandoli, plafoniérów, latarni, reflektorów, projektorów oświetleniowych."
27.51.Z,"Produkcja elektrycznego sprzętu gospodarstwa domowego","Obejmuje produkcję pralek, zmywarek, lodówek, zamrażarek, kuchenek elektrycznych, piekarników, mikrofalówek, suszarek, odkurzaczy, żelazek, tosterów, czajników elektrycznych, robotów kuchennych."
27.52.Z,"Produkcja nieelektrycznego sprzętu gospodarstwa domowego","Obejmuje produkcję kuchenek gazowych, pieców, grzejników na paliwa stałe, kominków, grilli, pieców opalanych drewnem. Produkcję naczyń kuchennych: garnków, patelni, czajników."
28.11.Z,"Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych","Obejmuje produkcję silników spalinowych, turbinowych, parowych. Produkcję turbin wodnych, wiatrowych, gazowych, parowych. Produkcję agregatów prądotwórczych, generatorów."
28.30.Z,"Produkcja maszyn dla rolnictwa i leśnictwa","Obejmuje produkcję ciągników rolniczych, kombajnów zbożowych, siewników, sadzarek, pługów, bron, kultywatorów. Produkcję kosiarek, opryskiwaczy, rozrzutników, dojarek mechanicznych, inkubatorów."
29.10.Z,"Produkcja pojazdów samochodowych, z wyłączeniem motocykli","Obejmuje produkcję samochodów osobowych, dostawczych, ciężarowych, autobusów. Montaż pojazdów samochodowych, produkcję silników samochodowych, podwozi."
29.20.Z,"Produkcja nadwozi do pojazdów silnikowych; produkcja przyczep i naczep","Obejmuje produkcję karoserii, nadwozi samochodowych, kabin. Produkcję przyczep, naczep, lawet, kontenerów transportowych."
29.31.Z,"Produkcja wyposażenia elektrycznego i elektronicznego do pojazdów silnikowych","Obejmuje produkcję alternatorów, rozruszników, świec zapłonowych, wiązek przewodów, systemów oświetleniowych, sygnalizacyjnych pojazdów."
29.32.Z,"Produkcja pozostałych części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli","Obejmuje produkcję hamulców, skrzyń biegów, kół, zderzaków, tłumików, sprzęgieł, kierownic, foteli samochodowych, pasów bezpieczeństwa, amortyzatorów."
30.11.Z,"Budowa statków i konstrukcji pływających","Obejmuje budowę statków handlowych, tankowców, kontenerowców, masowców, promów, okrętów wojennych. Budowę platform wiertniczych, doków pływających."
30.12.Z,"Budowa łodzi wycieczkowych i sportowych","Obejmuje budowę jachtów, żaglówek, motorówek, łodzi wiosłowych, kajaków, łodzi rybackich. Budowę łodzi rekreacyjnych, sportowych."
30.20.Z,"Produkcja lokomotyw kolejowych oraz taboru szynowego","Obejmuje produkcję lokomotyw elektrycznych, spalinowych, wagonów osobowych, towarowych, tramwajów, metra, szynobusów, drezyn."
30.30.Z,"Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn","Obejmuje produkcję samolotów, śmigłowców, helikopterów, szybowców, dronów, balonów, sterowców. Produkcję satelitów, rakiet kosmicznych, silników lotniczych."
30.91.Z,"Produkcja motocykli","Obejmuje produkcję motocykli, skuterów, motorowerów, quadów, silników motocyklowych."
30.92.Z,"Produkcja rowerów i wózków inwalidzkich","Obejmuje produkcję rowerów, rowerów elektrycznych, trójkołowych, wózków inwalidzkich, wózków elektrycznych dla niepełnosprawnych."
31.01.Z,"Produkcja mebli biurowych i sklepowych","Obejmuje produkcję biurek, krzeseł biurowych, szaf biurowych, regałów, stolików konferencyjnych, lad sklepowych, witryn wystawowych, gablot."
31.02.Z,"Produkcja mebli kuchennych","Obejmuje produkcję mebli kuchennych na wymiar i seryjnych: szafek kuchennych, blatów, zabudów kuchennych."
31.03.Z,"Produkcja materacy","Obejmuje produkcję materacy sprężynowych, piankowych, lateksowych, wodnych. Produkcję stelaży do łóżek, poduszek, kołder."
31.09.Z,"Produkcja pozostałych mebli","Obejmuje produkcję mebli mieszkaniowych: stołów, krzeseł, szaf, komód, łóżek, sof, foteli, kanap, tapczanów, regałów, półek, ław. Produkcję mebli ogrodowych, łazienkowych, dziecięcych. Tapicerowanie mebli."
32.12.Z,"Produkcja wyrobów jubilerskich i podobnych","Obejmuje produkcję biżuterii ze złota, srebra, platyny, diamentów, kamieni szlachetnych. Produkcję pierścionków, naszyjników, kolczyków, bransoletek, broszek. Produkcję wyrobów ze złota i srebra: sztućców, naczyń."
32.13.Z,"Produkcja sztucznej biżuterii i wyrobów podobnych","Obejmuje produkcję biżuterii sztucznej, sztucznych pereł, kamieni syntetycznych, biżuterii ze stali, z metali nieszlachetnych, koralików."
32.20.Z,"Produkcja instrumentów muzycznych","Obejmuje produkcję pianin, fortepianów, organów, skrzypiec, gitar, bębnów, fletów, trąbek, harmonijek, akordeonów, instrumentów elektronicznych, syntezatorów."
32.30.Z,"Produkcja artykułów sportowych","Obejmuje produkcję sprzętu sportowego: piłek, rakiet, kijów, nart, snowboardów, desek surfingowych, sprzętu fitness, siłowni. Produkcję rękawic bokserskich, ochraniaczy, wędek, przynęt."
32.40.Z,"Produkcja gier i zabawek","Obejmuje produkcję zabawek, lalek, figurek, pluszaków, puzzli, gier planszowych, kart do gry, gier komputerowych na nośnikach. Produkcję zabawek elektronicznych, modeli do składania."
32.50.Z,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne","Obejmuje produkcję narzędzi chirurgicznych, strzykawek, igieł, cewników, protez, implantów, aparatów słuchowych, soczewek kontaktowych, okularów, wózków inwalidzkich, łóżek szpitalnych, sterylizatorów, foteli dentystycznych."
33.11.Z,"Naprawa i konserwacja metalowych wyrobów gotowych","Obejmuje naprawę zbiorników, cystern, kontenerów metalowych. Naprawę konstrukcji metalowych, ogrodzeń, bram. Spawanie naprawcze."
33.12.Z,"Naprawa i konserwacja maszyn","Obejmuje naprawę maszyn przemysłowych, rolniczych, budowlanych, obrabiarek, sprężarek, pomp, zaworów. Konserwację i przeglądy maszyn."
33.13.Z,"Naprawa i konserwacja urządzeń elektronicznych i optycznych","Obejmuje naprawę sprzętu pomiarowego, kontrolnego, nawigacyjnego, laboratoryjnego. Naprawę sprzętu optycznego, kamer, aparatów."
33.14.Z,"Naprawa i konserwacja urządzeń elektrycznych","Obejmuje naprawę silników elektrycznych, transformatorów, generatorów, rozdzielnic, aparatury sterowniczej. Naprawa urządzeń elektrycznych przemysłowych."
33.15.Z,"Naprawa i konserwacja statków i łodzi","Obejmuje naprawę i remonty statków, łodzi, jachtów, kutrów. Prace stoczniowe remontowe, konserwację kadłubów."
33.16.Z,"Naprawa i konserwacja statków powietrznych i statków kosmicznych","Obejmuje naprawę samolotów, śmigłowców, silników lotniczych, awioniki, podwozi. Przeglądy techniczne statków powietrznych."
33.17.Z,"Naprawa i konserwacja pozostałego sprzętu transportowego","Obejmuje naprawę lokomotyw, wagonów, tramwajów, taboru szynowego, motocykli, rowerów, wózków inwalidzkich."
33.20.Z,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia","Obejmuje instalowanie, montaż maszyn i urządzeń przemysłowych. Uruchamianie linii produkcyjnych, montaż robotów przemysłowych, systemów automatyki."
35.11.Z,"Wytwarzanie energii elektrycznej","Obejmuje wytwarzanie energii elektrycznej w elektrowniach cieplnych, wodnych, wiatrowych, słonecznych, jądrowych, biogazowych, geotermalnych. Produkcja prądu, elektrownie fotowoltaiczne."
35.12.Z,"Przesyłanie energii elektrycznej","Obejmuje przesyłanie energii elektrycznej od wytwórców do dystrybutorów. Eksploatacja sieci przesyłowych wysokiego napięcia, stacji transformatorowych."
35.13.Z,"Dystrybucja energii elektrycznej","Obejmuje dystrybucję energii elektrycznej do odbiorców końcowych. Eksploatacja sieci dystrybucyjnych średniego i niskiego napięcia, stacji transformatorowych, liczników."
35.14.Z,"Handel energią elektryczną","Obejmuje kupno i sprzedaż energii elektrycznej, obrót energią na giełdach energetycznych, pośrednictwo w handlu energią."
35.21.Z,"Wytwarzanie paliw gazowych","Obejmuje wytwarzanie gazu ziemnego, biogazu, gazu koksowniczego, gazu syntezowego, gazu ze zgazowania biomasy."
35.22.Z,"Dystrybucja paliw gazowych w systemie sieciowym","Obejmuje dystrybucję gazu ziemnego siecią gazociągów do odbiorców. Eksploatacja sieci gazowej, stacji redukcyjnych, gazomierzy."
35.23.Z,"Handel paliwami gazowymi w systemie sieciowym","Obejmuje kupno i sprzedaż gazu ziemnego, obrót gazem, pośrednictwo w handlu gazem."
35.30.Z,"Wytwarzanie i zaopatrywanie w parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych","Obejmuje wytwarzanie ciepła, pary wodnej, gorącej wody w ciepłowniach, elektrociepłowniach. Eksploatacja sieci ciepłowniczych, wymiennikowni."
36.00.Z,"Pobór, uzdatnianie i dostarczanie wody","Obejmuje pobór wody z ujęć powierzchniowych i podziemnych. Uzdatnianie wody: filtrowanie, chlorowanie, odżelazianie. Dostarczanie wody wodociągiem do odbiorców. Eksploatacja wodociągów, stacji uzdatniania."
37.00.Z,"Odprowadzanie i oczyszczanie ścieków","Obejmuje odprowadzanie ścieków kanalizacją. Oczyszczanie ścieków w oczyszczalniach: mechaniczne, biologiczne, chemiczne. Eksploatacja sieci kanalizacyjnej, przepompowni ścieków, szamb."
38.11.Z,"Zbieranie odpadów innych niż niebezpieczne","Obejmuje zbieranie odpadów komunalnych, śmieci, odpadów segregowanych: plastiku, papieru, szkła, metali. Wywóz śmieci, opróżnianie pojemników, kontenerów na odpady."
38.12.Z,"Zbieranie odpadów niebezpiecznych","Obejmuje zbieranie odpadów niebezpiecznych: zużytych olejów, baterii, akumulatorów, chemikaliów, leków, azbestu, odpadów medycznych, świetlówek."
38.21.Z,"Obróbka i usuwanie odpadów innych niż niebezpieczne","Obejmuje składowanie odpadów na wysypiskach, kompostowanie, fermentację odpadów organicznych. Spalanie odpadów w spalarniach, przetwarzanie odpadów."
38.22.Z,"Przetwarzanie i unieszkodliwianie odpadów niebezpiecznych","Obejmuje utylizację odpadów niebezpiecznych, spalanie odpadów niebezpiecznych, neutralizację chemiczną, składowanie na składowiskach odpadów niebezpiecznych."
38.31.Z,"Demontaż wyrobów zużytych","Obejmuje demontaż zużytych urządzeń: samochodów, sprzętu elektronicznego, AGD, maszyn w celu odzysku materiałów. Strzępienie pojazdów, demontaż wraków."
38.32.Z,"Odzysk surowców z materiałów segregowanych","Obejmuje recykling metali, plastiku, szkła, papieru, gumy, tekstyliów. Sortowanie odpadów, przetwarzanie surowców wtórnych, odzysk materiałów."
39.00.Z,"Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami","Obejmuje rekultywację terenów skażonych, dekontaminację gleby, oczyszczanie wód gruntowych, usuwanie azbestu, odkażanie budynków, terenów przemysłowych."
41.10.Z,"Realizacja projektów budowlanych związanych ze wznoszeniem budynków","Obejmuje działalność deweloperską: budowę i sprzedaż budynków mieszkalnych, biurowych, handlowych. Realizację projektów budowlanych na własny rachunek."
41.20.Z,"Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych","Obejmuje budowę domów jednorodzinnych, wielorodzinnych, bloków mieszkalnych, biurowców, hal, magazynów, fabryk, szkół, szpitali, kościołów. Rozbudowę, nadbudowę, przebudowę budynków."
42.11.Z,"Roboty związane z budową dróg kołowych i szynowych","Obejmuje budowę autostrad, dróg, ulic, ścieżek rowerowych, chodników, pasów startowych, parkingów. Budowę torowisk, linii kolejowych, tramwajowych."
42.12.Z,"Roboty związane z budową dróg szynowych i kolei podziemnej","Obejmuje budowę kolei podziemnej, metra, kolei nadziemnej, wiaduktów kolejowych. Budowę infrastruktury kolejowej."
42.13.Z,"Roboty związane z budową mostów i tuneli","Obejmuje budowę mostów, wiaduktów, estakad, kładek, tuneli drogowych i kolejowych, przejść podziemnych."
42.21.Z,"Roboty związane z budową rurociągów i sieci rozdzielczych","Obejmuje budowę wodociągów, kanalizacji, gazociągów, ropociągów, ciepłociągów, sieci przesyłowych. Budowę przepompowni, ujęć wody."
42.22.Z,"Roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych","Obejmuje budowę linii elektroenergetycznych, słupów energetycznych, stacji transformatorowych. Budowę linii telekomunikacyjnych, masztów, sieci światłowodowych."
42.91.Z,"Roboty związane z budową obiektów inżynierii wodnej","Obejmuje budowę tam, jazów, śluz, wałów przeciwpowodziowych, kanałów, portów, przystani, falochronów, nabrzeży."
42.99.Z,"Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane","Obejmuje budowę obiektów przemysłowych, rafineryjnych, sportowych (stadionów), budowę infrastruktury, roboty inżynieryjne."
43.11.Z,"Rozbiórka i burzenie obiektów budowlanych","Obejmuje wyburzanie budynków, rozbiórkę obiektów budowlanych, usuwanie gruzów, prace rozbiórkowe, demontaż konstrukcji."
43.12.Z,"Przygotowanie terenu pod budowę","Obejmuje niwelację terenu, karczowanie, odwadnianie, osuszanie gruntów, makroniwelację. Przygotowywanie placu budowy."
43.13.Z,"Wykonywanie wykopów i wierceń geologiczno-inżynierskich","Obejmuje wykonywanie wykopów, odwiertów, sondowań gruntu, badań geotechnicznych. Wiercenie studni, wierceń pod pale fundamentowe."
43.21.Z,"Wykonywanie instalacji elektrycznych","Obejmuje montaż instalacji elektrycznych w budynkach: okablowania, gniazdek, wyłączników, rozdzielnic. Instalowanie systemów alarmowych, domofonów, monitoringu. Instalacje fotowoltaiczne, odgromowe."
43.22.Z,"Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych, gazowych i klimatyzacyjnych","Obejmuje montaż instalacji wodnych, kanalizacyjnych, gazowych, centralnego ogrzewania, wentylacyjnych, klimatyzacyjnych. Instalowanie kotłów, grzejników, pomp ciepła."
43.29.Z,"Wykonywanie pozostałych instalacji budowlanych","Obejmuje montaż wind, ruchomych schodów, drzwi automatycznych, systemów przeciwpożarowych, instalacji izolacyjnych, cieplnych, akustycznych, wibracyjnych."
43.31.Z,"Tynkowanie","Obejmuje nakładanie tynków wewnętrznych i zewnętrznych: gipsowych, cementowych, cementowo-wapiennych, akrylowych. Tynki maszynowe, sztukaterie."
43.32.Z,"Zakładanie stolarki budowlanej","Obejmuje montaż okien, drzwi, bram garażowych, parapetów, balustrad. Montaż zabudów z płyt kartonowo-gipsowych, sufitów podwieszanych."
43.33.Z,"Posadzkarstwo; tapetowanie i oblicowywanie ścian","Obejmuje układanie posadzek, glazury, terakoty, gresu, parkietów, paneli podłogowych, wykładzin. Tapetowanie ścian, oblicowywanie ścian płytkami."
43.34.Z,"Malowanie i szklenie","Obejmuje malowanie ścian, sufitów, elewacji. Szklenie okien, drzwi, montaż witraży. Malowanie konstrukcji metalowych, antykorozyjne."
43.39.Z,"Wykonywanie pozostałych robót budowlanych wykończeniowych","Obejmuje montaż balkonów, wykończeniowe prace budowlane, czyszczenie elewacji, hydro i termoizolacje, osuszanie budynków."
43.91.Z,"Wykonywanie konstrukcji i pokryć dachowych","Obejmuje budowę dachów, montaż więźb dachowych, pokrywanie dachów dachówką, blachą, papą, gontem. Montaż rynien, obróbek blacharskich, kominów. Izolacja dachów."
43.99.Z,"Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane","Obejmuje fundamentowanie, palowanie, betonowanie, zbrojenie, murowanie, montaż rusztowań, prace ziemne specjalistyczne."
45.11.Z,"Sprzedaż hurtowa i detaliczna samochodów osobowych i furgonetek","Obejmuje sprzedaż nowych i używanych samochodów osobowych, kombi, furgonetek. Salony samochodowe, komisy samochodowe, dealerzy."
45.19.Z,"Sprzedaż hurtowa i detaliczna pozostałych pojazdów samochodowych","Obejmuje sprzedaż samochodów ciężarowych, autobusów, przyczep, naczep, pojazdów specjalnych: karetek, wozów strażackich."
45.20.Z,"Konserwacja i naprawa pojazdów samochodowych, z wyłączeniem motocykli","Obejmuje naprawę mechaniczną samochodów, serwis olejowy, wymianę opon, naprawę hamulców, zawieszenia, sprzęgła. Blacharstwo, lakiernictwo, elektromechanikę samochodową. Warsztaty samochodowe, stacje kontroli pojazdów, przeglądy techniczne."
45.31.Z,"Sprzedaż hurtowa części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli","Obejmuje hurtową sprzedaż części zamiennych, filtrów, klocków hamulcowych, świec zapłonowych, akumulatorów, olejów silnikowych. Hurtownie motoryzacyjne."
45.32.Z,"Sprzedaż detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli","Obejmuje detaliczną sprzedaż części zamiennych, akcesoriów samochodowych, opon, felg, olejów. Sklepy motoryzacyjne."
